"1,3-divinyl-4-hydroxybenzene",C=CC1=CC=C(O)C(C=C)=C1
"1,4-divinyl-2-formylbenzene",C=CC1=CC=C(C=C)C(C=O)=C1
"1,3-dimethyl-2-hydroxybenzene",CC1=CC=CC(C)=C1O
"1,3-dimethyl-5-hydroxybenzene",CC1=CC(C)=CC(O)=C1
"1,4-dimethyl-2-hydroxybenzene", CC1=CC=C(C)C(O)=C1
"1,2-diethyl-3-hydroxybenzene",CCC1=CC=CC(O)=C1CC
"1,3-diethyl-6-hydroxybenzene",CCC1=CC=C(O)C(=C1)CC
"1,4-diethyl-2-hydroxybenzene",CCC1=CC=C(CC)C(O)=C1
1-ethyl-2-hydroxy-3-formylbenzene ,CCC1=CC=CC(C=O)=C1O
"1,3,5-trimethyl-2-hydroxybenzene ",CC1=CC(C)=C(O)C(C)=C1
"1,2,3,4-Tetramethylbenzene",CC1=CC=C(C)C(C)=C1C
"1,2,3,4-Tetrahydroxybenzene",OC1=CC=C(O)C(O)=C1O
"1,2-dihydroxy-4,5-diformylbenzene",O=CC1C=C(O)C(O)=CC=1C=O
1-methyl-2-hydroxy-3-methoxy-5-vinylbenzene,C=CC1=CC(C)=C(O)C(=C1)OC
"1-methyl-3,4,5-trivinylbenzene",C=CC1=CC(C)=CC(C=C)=C1C=C
"1-hydroxy-2-vinyl-4,5-diformylbenzene",C=CC1=CC(C=O)=C(C=O)C=C1O
"1-vinyl-2,4-dimethyl-3-ethylbenzene",C=CC1C=CC(C)=C(CC)C=1C
"1,3-dimethoxy-2-hydroxy-5-methylbenzene",COC1=CC(C)=CC(OC)=C1O
"1,3,4-trihydroxy-2-methoxybenzene",COC1=C(O)C=CC(O)=C1O
"1,3-vinyl-2-hydroxy-4-methylbenzene",C=CC1C=CC(C)=C(C=C)C=1O
1-hydroxy-2-formyl-4-methyl-5-vinylbenzene,C=CC1=CC(O)=C(C=O)C=C1C
"1,2-dihydroxy-3-methoxy-5-ethylbenzene",CCC1=CC(O)=C(O)C(=C1)OC
"1,2-dihydroxy-3-methoxy-5,6-dimethylbenzene",COC1=CC(C)=C(C)C(O)=C1O
"1-hydroxy-2,3-diformyl-4-methyl-6-vinylbenzene",C=CC1C=C(C)C(C=O)=C(C=O)C=1O
"1,2,3,4,5-Pentahydroxybenzene",OC1=CC(O)=C(O)C(O)=C1O
