Name	SMILES	H298	S298	300 K	400 K	500 K	600 K	800 K	1000 K	1500 K	Comment
1,3-divinyl-4-hydroxybenzene	C=CC1=CC=C(O)C(C=C)=C1	8.56	105.87	44.22	55.36	64.68	72.01	82.94	90.48	101.54	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,4-divinyl-2-formylbenzene	C=CC1=CC=C(C=C)C(C=O)=C1	20.15	112.57	47.06	58.3	67.86	75.6	87.44	95.48	105.68	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1,3-dimethyl-2-hydroxybenzene	CC1=CC=CC(C)=C1O	-38.28	94.5636610359	35.64	45.08	53.56	60.61	71.5	79.16	90.82	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,3-dimethyl-5-hydroxybenzene	CC1=CC(C)=CC(O)=C1	-38.28	94.5636610359	35.64	45.08	53.56	60.61	71.5	79.16	90.82	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,4-dimethyl-2-hydroxybenzene	 CC1=CC=C(C)C(O)=C1	-38.28	94.5636610359	35.64	45.08	53.56	60.61	71.5	79.16	90.82	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,2-diethyl-3-hydroxybenzene	CCC1=CC=CC(O)=C1CC	-48.0	113.243661036	47.32	60.3	71.52	80.63	94.48	104.24	118.34	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,3-diethyl-6-hydroxybenzene	CCC1=CC=C(O)C(=C1)CC	-48.0	113.243661036	47.32	60.3	71.52	80.63	94.48	104.24	118.34	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,4-diethyl-2-hydroxybenzene	CCC1=CC=C(CC)C(O)=C1	-48.0	113.243661036	47.32	60.3	71.52	80.63	94.48	104.24	118.34	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-ethyl-2-hydroxy-3-formylbenzene 	CCC1=CC=CC(C=O)=C1O	-65.66	108.966830518	43.66	54.45	63.66	71.1	82.43	90.0	99.67	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1,3,5-trimethyl-2-hydroxybenzene 	CC1=CC(C)=C(O)C(C)=C1	-46.27	103.570491554	41.26	51.62	61.18	69.25	81.94	90.96	104.65	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
